0,83
0,145
0,230
1,82
2,131
4,89
4,230
6,262
7,168
7,188
8,122
8,195
9,109
9,211
14,228
15,198
17,251
17,262
19,134
20,193
22,82
22,160
23,5
23,44
25,129
25,170
26,44
27,129
28,104
29,240
30,195
32,166
32,177
35,56
35,123
35,143
36,121
38,155
38,258
39,212
39,216
40,154
42,258
43,104
43,169
43,216
44,25
44,26
45,244
46,31
46,87
46,148
47,217
47,265
48,5
48,121
50,145
51,61
51,229
52,10
53,131
53,162
53,164
54,246
54,259
55,54
57,221
57,229
58,119
58,221
58,259
59,110
60,94
60,177
60,193
60,202
61,180
62,205
62,211
63,240
65,147
66,208
67,209
68,61
68,219
70,79
71,88
71,170
71,262
72,118
73,137
74,187
74,191
75,181
76,224
77,260
78,207
79,164
80,142
80,150
81,187
81,241
81,262
83,152
84,177
84,193
85,133
85,179
85,214
86,199
86,205
86,211
87,105
88,152
88,189
90,92
90,254
91,89
91,161
91,166
92,74
92,169
93,179
97,202
98,160
101,216
102,257
103,273
103,278
105,24
105,87
106,96
107,8
108,136
108,214
109,3
109,22
109,160
110,46
110,87
110,236
111,3
111,16
112,64
114,68
114,180
115,257
116,103
117,144
118,72
118,78
118,145
119,103
120,6
123,108
124,18
124,166
124,215
125,158
126,237
126,253
126,254
126,264
127,61
127,180
128,271
129,71
129,88
132,229
134,168
135,2
135,13
135,131
136,108
136,277
138,169
138,187
138,191
140,146
140,201
140,261
141,256
143,106
144,94
146,130
146,201
147,80
147,142
148,46
148,55
148,110
148,239
149,80
150,273
150,280
151,52
151,84
152,205
153,137
153,232
153,244
154,40
154,247
155,11
155,95
156,72
156,118
157,2
157,189
157,199
161,134
161,168
161,231
162,12
162,13
163,99
165,186
166,91
167,63
167,102
168,13
169,43
169,69
169,81
169,159
169,176
169,185
171,218
171,259
172,270
172,281
173,11
173,123
173,143
174,82
174,206
174,235
174,238
174,258
175,203
178,103
178,124
178,163
178,200
180,198
181,129
181,256
182,241
182,248
182,266
183,21
183,157
184,113
185,43
185,187
185,191
185,211
185,227
186,102
186,165
186,203
186,228
187,43
187,67
187,185
188,7
188,134
189,14
189,62
189,88
189,120
190,26
190,268
191,138
192,269
193,19
193,20
194,208
196,217
196,241
196,248
197,233
198,15
198,146
198,216
199,21
199,86
199,120
199,205
199,219
200,74
200,214
201,15
201,33
201,119
201,130
202,151
203,186
204,190
204,229
204,259
205,86
206,86
207,78
207,263
208,132
208,229
209,215
209,233
210,54
210,174
211,21
211,86
211,269
212,237
212,253
212,260
212,267
213,256
213,259
214,133
215,197
216,15
216,33
216,43
216,47
216,279
217,47
218,245
218,259
219,37
219,41
219,199
219,223
220,250
221,45
222,190
224,61
224,132
224,153
224,194
225,222
225,257
226,49
226,167
226,186
227,170
227,253
228,102
228,142
228,165
229,208
230,0
230,42
230,258
231,139
231,161
231,262
232,121
232,151
232,229
233,220
234,102
234,226
234,243
235,38
235,54
235,100
235,133
236,212
236,217
236,237
236,253
236,254
237,126
237,228
238,17
238,189
238,197
238,220
239,148
239,245
240,156
240,167
240,226
241,24
241,252
242,41
242,47
242,182
242,267
243,73
243,269
243,271
243,277
243,281
244,194
244,208
244,222
245,204
245,222
246,206
246,210
246,261
247,87
247,222
248,252
248,266
249,253
250,6
250,17
250,233
250,251
250,253
251,50
251,231
252,24
252,196
252,208
253,237
253,249
254,227
254,237
254,260
254,267
255,102
255,234
255,279
255,280
256,187
256,259
257,102
257,165
257,167
257,226
258,192
258,207
259,218
259,245
259,249
259,256
259,268
260,77
260,147
260,227
260,254
260,261
261,227
261,249
261,260
262,1
262,6
262,83
262,250
263,42
263,206
264,237
266,159
267,236
267,239
268,141
268,204
268,245
268,256
269,273
270,69
270,90
270,120
270,172
270,226
270,281
271,128
271,275
272,34
272,171
272,268
273,269
273,270
273,279
274,263
274,269
274,281
275,269
275,277
276,261
276,269
276,275
277,243
277,274
278,270
279,172
279,196
279,271
279,278
279,280
279,281
280,270
281,69
281,251
281,278
